world,world_title,entry_role,english_gloss,saulteau_source_form,source_category,firstvoices_entry_url,related_image_available,source_acknowledgement
6,"Home, Camp and Craft",object,An auto shop,0Tāpanaskew’ kamik,Buildings,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/f506329a-9123-4180-a6af-fc1b8d6c347e,yes,Source: Judy Cameron
1,Water and Turtle Island,land/season,A Star,ācahkōs,Place/Location,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/c85f08c7-714e-436b-b6c0-68270021c326,yes,Source: Amy Ann Gauthier
1,Water and Turtle Island,land/season,Stars,Acahkosak,Landscape,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/1f67c777-e42b-43ff-823e-3f8014f65d1d,yes,Source: Judy Cameron
3,Animal Trail,living being,Puppies,Acimosisak,Animals,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/a94e3a5f-c67d-41c0-b938-c3cd4a129866,no,Source: Amy Ann Gauthier
1,Water and Turtle Island,object,Arrow,acosis,Tools/Implements,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/275092e2-f82c-4c85-b0eb-adbfde237dce,yes,Source: Amy Ann Gauthier
3,Animal Trail,living being,A Raven,āhāsiw,Animals,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/699c45ca-14fd-4ab9-9881-209119b22213,yes,Source: Amy Ann Gaauthier
3,Animal Trail,living being,Ravens,Āhāsiwak,Animals,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/d4c3d8c4-e72b-43f8-89d9-30171c6bf58b,yes,Source: Amy Ann Gauthier
6,"Home, Camp and Craft",object,Rings for the finger,ahcānisak,Making Cultural Objects,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/0f82a80f-4890-466f-974f-c1464f1e77d9,yes,Source: Amy Ann Gauthier
6,"Home, Camp and Craft",object,A hospital building,Āhkosēw’ kāmik,Buildings,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/47d6efe5-67be-475a-b001-3ce2c4a83995,yes,Source: Judy Cameron
6,"Home, Camp and Craft",object,The band office,Ahtoskēwo’  kamik,Buildings,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/463fa649-1fbf-4e01-a053-987ca453cae1,yes,Source: Judy Cameron
2,Forest and Meadow,living being,Blood sucker,akahkway,Insects,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/89fda91e-123d-42be-a2ca-d017fee831a7,yes,Source: Amy Ann Gauthier
2,Forest and Meadow,living being,"blood suckers, leeches; snails",akahkwayak,Insects,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/ff39b352-e9b3-4588-bfee-c99edec661dd,yes,Source: Amy Ann Gauthier
1,Water and Turtle Island,living being,A Beaver,amisk,Animals,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/554ff62c-2310-45ac-8ab7-2e0ed2555aac,no,Source: Amy Ann Gauthier
1,Water and Turtle Island,living being,Baby Beaver,āmiskōs,Animals,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/f92b8a14-7d38-4d12-8390-0e55c60e79ac,yes,Source: Amy Ann Gauthier
1,Water and Turtle Island,land/season,Beaver Lake,amiskosākahikan,Place/Location,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/06016094-a86e-4214-9717-9ac01a542105,yes,Source: Amy Ann Gauthier
1,Water and Turtle Island,living being,beaver (more than one),amiskwak,Animals,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/400e4640-f36e-4883-afd5-7226969ff1b4,yes,Source: Amy Ann Gauthier
6,"Home, Camp and Craft",object,beaver pelt,amiskwayān,Making Cultural Objects,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/dfb117a6-9af1-47a1-8339-a19f6cdba809,yes,Source: Amy Ann Gauthier
6,"Home, Camp and Craft",object,Beaver Pelts,amiskwayāna,Making Cultural Objects,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/943674a6-0a23-4fcc-909b-b56cbeb525d5,yes,Source: Amy Ann Gauthier
6,"Home, Camp and Craft",object,Beaver tails,amiskwayiwa,Making Cultural Objects,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/173f4c1d-e092-4a40-9931-817fffb10d3f,yes,Source: Amy Ann Gauthier
6,"Home, Camp and Craft",object,Sheets,Anāskāna,Tools/Implements,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/56623782-75a4-495a-b041-488c1ffd7024,yes,Source: Judy Cameron
3,Animal Trail,living being,squirrel,anikwacās,Animals,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/73cc5cb4-9662-4279-a9aa-977d92a5e5d8,yes,Source: Amy Ann Gauthier
6,"Home, Camp and Craft",object,Buttons,aniskamanak,Clothing,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/959cb7f0-5fe7-498b-918b-d9edd3002fe4,yes,Source: Amy Ann Gauthier
6,"Home, Camp and Craft",object,tools,apacikcikana,Tools/Implements,https://api.firstvoices.com/api/1.0/sites/cree-saulteau/dictionary/b7540940-3e9c-4493-ba85-2e59a4ddd1a7,yes,Source: Amy Ann Gauthier
